num,name_pt,name_zh,cas,ec
101,Benzenossulfonato de Cobalto,苯磺酸钴,23384-69-2,-
102,"Colchicina, seus sais e derivados",秋水仙碱、其盐及衍生物,64-86-8,200-598-5
103,Colchicosido e seus derivados,秋水仙苷及其衍生物,477-29-2,207-513-0
104,Colchicum autumnale L. e suas preparações galênicas,秋水仙（Colchicum autumnale L.）及其植物制剂,84696-03-7,283-623-2
105,Convalatoxina,铃兰毒苷,508-75-8,208-086-3
106,Anamirta cocculus L. (fruto),印度防己（Anamirta cocculus L.，果实）,-,-
107,Óleo de Croton tiglium L.,巴豆（Croton tiglium L.）油,8001-28-3,-
108,1 - Butil – 3 - (N - crotonoilsulfanilil) uréia,1-丁基-3-(N-巴豆酰磺胺基)脲,52964-42-8,-
110,Curarizantes sintéticos,合成箭毒类,-,-
111,Cianeto de hidrogênio (Ácido Cianídrico) e seus sais,氰化氢（氢氰酸）及其盐,74-90-8,200-821-6
112,"2-α–Ciclohexilbenzil (N,N,N',N'-tetraetil) trimetilenodiamina (fenetamina)",2-α-环己基苄基(N,3590-16-7,-
113,Ciclomenol* e seus sais,*环己孟醇及其盐,5591-47-9,227-002-6
114,Hexaciclonato de Sódio*,*环己氯酸钠,7009-49-6,-
115,Hexapropimato*,*己丙氨酯,358-52-1,206-618-9
116,Dextropropoxifeno*,*右丙氧芬,469-62-5,207-420-5
117,"O, O' - diacetil - N – alil – N-normorfina; Diacetilnalorfina",O,2748-74-5,-
118,Pipazetato* e seus sais,*哌嗪乙酯及其盐,2167-85-3,218-508-8
119,"5 - (α, β  - dibromofenetil) - 5 – metilhidantoína",5-(α,511-75-1,208-133-8
120,"Sais de N, N' - pentametilenobis (trimetilamônio), por exemplo Brometo de Pentametônio*","N,N'-五亚甲基双(三甲铵)盐，如*喷他铵溴化物",541-20-8,208-771-7
121,"Sais de N, N' – [(Metilimino) dietileno] bis (etildimetilamônio), por exemplo Brometo de azametônio*","N,N'-[(亚氨基)二亚乙基]双(乙基二甲基铵)盐，如*阿扎铵溴化物",306-53-6,206-186-1
122,Ciclarbamato*,*环己氨酯,5779-54-4,227-302-7
123,Clofenotano* (DDT-ISO),*滴滴涕（DDT-ISO）,50-29-3,200-024-3
124,"Sais de N,N'-hexametilenobis (trimetilamônio), por exemplo brometo de hexametônio*","N,N'-六亚甲基双(三甲铵)盐，如*己铵溴化物",55-97-0,200-249-7
125,"Dicloroetanos (cloretos de etileno) por exemplo 1,2-dicloroetano",二氯乙烷（氯化乙烯），如1,107-06-2,203-458-1
126,"Dicloroetilenos (cloretos de acetileno), por exemplo cloreto de vinilideno (1,1-dicloroetileno)",二氯乙烯（氯化乙炔），如偏二氯乙烯（1,75-35-4,200-864-0
127,Lisérgida* e seus sais,*麦角酰胺及其盐,50-37-3,200-033-2
128,2 – dietilaminoetil 3 - hidroxi - 4 - fenilbenzoato e seus sais,2-二乙氨基乙基-3-羟基-4-苯基苯甲酸酯及其盐,3572-52-9,222-686-2
129,Cinchocaína* e seus sais,*辛可卡因及其盐,85-79-0,201-632-1
130,Cinamato de 3 – dietilaminopropila,3-二乙氨基丙基肉桂酸酯,538-66-9,-
131,"Fosforotioato de o,o' – dietila – o – 4 – nitrofenila (Paratião - ISO)",O,56-38-2,200-271-7
132,"Sais de [Oxalilbis (iminoetileno)] bis [(o- clorobenzil) dietilamônio], por exemplo  Cloreto de Ambenônio*",[草酰双(亚氨基乙烯)]双[(邻氯苄基)二乙基铵]盐，如*安贝氯铵,115-79-7,204-107-5
133,Metiprilona* e seus sais,*甲乙哌酮及其盐,125-64-4,204-745-4
134,Digitalina e todos os heterosídeos da Digitalis purpurea L.,洋地黄毒苷及毛花洋地黄（Digitalis purpurea L.）所有苷类,752-61-4,212-036-6
