num,name_pt,name_zh,cas,ec
742,Tioacetamida,硫代乙酰胺,62-55-5,200-541-4
743,"N,N-dimetilformamida",N-dimetilformamida,68-12-2,200-679-5
744,Formamida,甲酰胺,75-12-7,200-842-0
745,N-metilacetamida,N-甲基乙酰胺,79-16-3,201-182-6
746,N-metilformamida,N-甲基甲酰胺,123-39-7,204-624-6
747,"N,N-dimetilacetamida",N-dimetilacetamida,127-19-5,204-826-4
748,Hexametiltriamida fosfórica,六甲基磷酰三胺,680-31-9,211-653-8
749,Sulfato de dietila,硫酸二乙酯,64-67-5,200-589-6
750,Sulfato de dimetila,硫酸二甲酯,77-78-1,201-058-1
751,"1,3-Propanossultona",3-Propanossultona,1120-71-4,214-317-9
752,Cloreto de dimetilssulfamoíla,二甲基硫酰胺氯,13360-57-1,236-412-4
753,Sulfalato,砜拌磷,95-06-7,202-388-9
754,"Mistura de 4-[[bis-(4- fluorofenil)metilsilil]metil]-4H-1,2,4-triazole e 1- [[bis-(4-fluorofenil)metilsilil]metil]-1H-1,2,4-triazol",2,-,403-250-2
755,(+/-) (R)-2-[4-(6-cloroquinoxalina-2- iloxi)feniloxi]propionato de tetrahidrofurfurila,(+/-) (R)-2-[4-(6-氯喹喔啉-2-基氧基)苯氧基]丙酸四氢糠酯,119738-06-6,607-373-00-4
756,"6-Hidroxi-1-(3-isopropoxipropil)-4-metil-2-oxo-5- [4-(fenilazo)fenilazo]-1,2-dihidro-3- piridinacarbonitrila",2-dihidro-3- piridinacarbonitrila,85136-74-9,400-340-3
757,"Formiato de (6-(4-hidroxi-3-(2-metoxifenilazo)-2- sulfonato-7-naftilamino)-1,3,5-triazina-2,4- diil)bis[(amino-1-metiletil)amônio]",3,108225-03-2,402-060-7
758,"(6-benzoilamino-3-sulfonato-2-naftilazo)-bifenil- 1,3',3'',1'''-tetraolato-o,o',o'',o''']cobre(II) de trissódio",3',-,413-590-3
759,"Mistura de N-[3-hidroxi-2-(2- metilacriloilaminometoxi)propoximetil]-2- metilacrilamida e N-[2,3-bis-(2- metilacriloilaminometoxi)propoximetil]-2- metilacrilamida e metacrilamida e 2-metil-N-(2- metilacriloilaminometoximetil) -acrilamida e N- (2,3-dihidroxipropoximetil)-2-metilacrilamida",3-bis-(2- metilacriloilaminometoxi)propoximetil]-2- metilacrilamida e metacrilamida e 2-metil-N-(2- metilacriloilaminometoximetil) -acrilamida e N- (2,-,412-790-8
760,"1,3,5-tris-[(2S e 2R)-2,3-epoxipropil]-1,3,5- triazina-2,4,6-(1H,3H,5H)-triona",3,59653-74-6,423-400-0
761,Erionita,毛沸石,12510-42-8,650-012-00-0
762,Amianto,石棉,12001-28-4,650-013-00-6
763,Petróleo,石油,8002-05-9,232-298-5
764,"Destilados (petróleo), pesados do hidrocraking, se contiverem > 3% (m/m) de extrato DMSO",pesados do hidrocraking,64741-76-0,265-077-7
765,"Destilados (petróleo), parafinicos pesados refinados com solvente, se contiverem > 3% (m/m) de extrato DMSO",parafinicos pesados refinados com solvente,64741-88-4,265-090-8
766,"Destilados (petróleo), parafinicos leves refinados com solvente, se contiverem > 3% (m/m) de extrato DMSO",parafinicos leves refinados com solvente,64741-89-5,265-091-3
767,"Óleos  residuais (petróleo), desasfaltados com solvente, se contiverem > 3% (m/m) de extrato DMSO",desasfaltados com solvente,64741-95-3,265-096-0
768,"Destilados (petróleo), naftenicos pesados refinados com solvente, se contiverem > 3% (m/m) de extrato DMSO",naftenicos pesados refinados com solvente,64741-96-4,265-097-6
769,"Destilados (petróleo), naftênicos leves refinados com solvente, se contiverem > 3% (m/m) de extrato DMSO",naftênicos leves refinados com solvente,64741-97-5,265-098-1
770,"Óleos residuais (petróleo), refinados com solvente, se contiverem > 3% (m/m) de extrato DMSO",refinados com solvente,64742-01-4,265-101-6
771,"Destilados (petróleo), parafinicos pesados tratados com argila, se contiverem > 3% (m/m) de extrato DMSO",parafinicos pesados tratados com argila,64742-36-5,265-137-2
772,"Destilados (petróleo), parafinicos leves tratados com argila, se contiverem > 3% (m/m) de extrato DMSO",parafinicos leves tratados com argila,64742-37-6,265-138-8
773,"Óleos residuais (petróleo), tratados com argila, se contiverem > 3 % (m/m) de extrato DMSO",tratados com argila,64742-41-2,265-143-5
