num,name_pt,name_zh,cas,ec
942,"Destilados (petróleo), pesados do cracking catalítico hidrogenodessulfurizados",pesados do cracking catalítico hidrogenodessulfurizados,68333-28-8,269-784-1
943,"Fuelóleo, resíduos dos gasóleos de destilação direta, ricos em enxofre",resíduos dos gasóleos de destilação direta,68476-32-4,270-674-0
944,"Fueóleo, residual",residual,68476-33-5,270-675-6
945,"Resíduos (petróleo), da destilação do resíduo da coluna de fracionamento do reformer catalítico",da destilação do resíduo da coluna de fracionamento do reformer catalítico,68478-13-7,270-792-2
946,"Resíduos (petróleo), do gasóleo pesado do coker e do gasóleo de vácuo",do gasóleo pesado do coker e do gasóleo de vácuo,68478-17-1,270-796-4
947,"Resíduos (petróleo), pesados do coker e leves de vácuo",pesados do coker e leves de vácuo,68512-61-8,270-983-0
948,"Resíduos (petróleo), leves de vácuo",leves de vácuo,68512-62-9,270-984-6
949,"Resíduos (petróleo), leves do steam-cracking",leves do steam-cracking,68513-69-9,271-013-9
950,"Fueóleo, nº 6",nº 6,68553-00-4,271-384-7
951,"Resíduos (petróleo), da unidade de topping, com baixo teor em enxofre",da unidade de topping,68607-30-7,271-763-7
952,"Gasóleos (petróleo), atmosféricos pesados",atmosféricos pesados,68783-08-4,272-184-2
953,"Resíduos (petróleo), da coluna de remoção de gases do coker, contendo hidrocarbonetos aromáticos polinucleares",da coluna de remoção de gases do coker,68783-13-1,272-187-9
954,"Destilados (petróleo), de vácuo de resíduos do petróleo",de vácuo de resíduos do petróleo,68955-27-1,273-263-4
955,"Resíduos (petróleo), do steam-cracking, resinosos",do steam-cracking,68955-36-2,273-272-3
956,"Destilados (petróleo), médios de vácuo",médios de vácuo,70592-76-6,274-683-0
957,"Destilados (petróleo), leves de vácuo",leves de vácuo,70592-77-7,274-684-6
958,"Destilados (petróleo), de vácuo",de vácuo,70592-78-8,274-685-1
959,"Gasóleo (petróleo), pesados de vácuo do coker hidrogenodessulfurizados",pesados de vácuo do coker hidrogenodessulfurizados,85117-03-9,285-555-9
960,"Resíduos (petróleo), do steam-cracking, destilados",do steam-cracking,90669-75-3,292-657-7
961,"Resíduos (petróleo), de vácuo, leves",de vácuo,90669-76-4,292-658-2
962,"Fueóleo, pesado, de alto teor em enxofre",pesado,92045-14-2,295-396-7
963,"Resíduos (petróleo), do cracking catalítico",do cracking catalítico,92061-97-7,295-511-0
964,"Destilados (petróleo), intermédios do cracking catalítico, degradados termicamente",intermédios do cracking catalítico,92201-59-7,295-990-6
965,Óleos residuais (petróleo),石油残油,93821-66-0,298-754-0
966,"Resíduos, do steam-cracking, tratados termicamente",do steam-cracking,98219-64-8,308-733-0
967,"Destilados (petróleo), médios hidrogenodessulfurizados",médios hidrogenodessulfurizados,101316-57-8,309-863-0
968,"Destilados (petróleo), parafínicos leves",parafínicos leves,64741-50-0,265-051-5
969,"Destilados (petróleo), parafínicos pesados",parafínicos pesados,64741-51-1,265-052-0
970,"Destilados (petróleo), naftênicos leves",naftênicos leves,64741-52-2,265-053-6
971,"Destilados (petróleo), naftênicos pesados",naftênicos pesados,64741-53-3,265-054-1
972,"Destilados (petróleo), naftênicos pesados tratados com ácido",naftênicos pesados tratados com ácido,64742-18-3,265-117-3
973,"Destilados (petróleo), naftênicos leves tratados com ácido",naftênicos leves tratados com ácido,64742-19-4,265-118-9
974,"Destilados (petróleo), parafínicos pesados tratados com ácido",parafínicos pesados tratados com ácido,64742-20-7,265-119-4
975,"Destilados (petróleo), parafínicos leves tratados com ácido",parafínicos leves tratados com ácido,64742-21-8,265-121-5
976,"Destilados (petróleo), parafínicos pesados neutralizados quimicamente",parafínicos pesados neutralizados quimicamente,64742-27-4,265-127-8
977,"Destilados (petróleo), parafínicos leves neutralizados quimicamente",parafínicos leves neutralizados quimicamente,64742-28-5,265-128-3
978,"Destilados (petróleo), naftênicos pesados neutralizados quimicamente",naftênicos pesados neutralizados quimicamente,64742-34-3,265-135-1
979,"Destilados (petróleo), naftênicos leves neutralizados quimicamente",naftênicos leves neutralizados quimicamente,64742-35-4,265-136-7
980,"Extratos (petróleo), de solvente de destilado naftênico leve",de solvente de destilado naftênico leve,64742-03-6,265-102-1
981,"Extratos (petróleo), de solvente de destilado parafínico pesado",de solvente de destilado parafínico pesado,64742-04-7,265-103-7
982,"Extratos (petróleo), de solvente de destilado parafínico leve",de solvente de destilado parafínico leve,64742-05-8,265-104-2
983,"Extratos (petróleo), de solvente de destilado nafténico pesado",de solvente de destilado nafténico pesado,64742-11-6,265-111-0
