num,name_pt,name_zh,cas,ec
1,N - 5 - Clorobenzoxazol - 2 – ilacetamida,N-5-氯苯并恶唑-2-乙酰胺,35783-57-4,-
2,Hidróxido de 2-Acetoxietiltrimetilamônio (acetilcolina) e seus sais,2-乙酰氧基乙基三甲铵氢氧化物（乙酰胆碱）及其盐,51-84-3,200-128-9
3,Aceglutamato de deanol* (Acetoglutamato),*乙酰谷氨酸地阿诺酯（乙酰谷氨酸）,3342-61-8,222-085-5
4,Espironolactona*,*螺内酯,52-01-7,200-133-6
5,"Ácido [4 - (4 - hidróxi - 3 - iodofenoxi) - 3, 5 - diiodofenil] acético (tiratricol)* e seus sais","*4-(4-羟基-3-碘苯氧基)-3,5-二碘苯乙酸（替拉曲考）及其盐",51-24-1,200-086-1
6,Metotrexato*,*甲氨蝶呤,59-05-2,200-413-8
7,Ácido Aminocapróico* e seus sais,*氨基己酸及其盐,60-32-2,200-469-3
8,"Cinchofeno*,seus sais, derivados e os sais dos seus derivados",*辛可芬、其盐、衍生物及衍生物盐,132-60-5,205-067-1
9,Ácido Tiroprópico* e seus sais,*酪丙酸及其盐,51-26-3,-
10,Ácido Tricloroacético,三氯乙酸,76-03-9,200-927-2
11,"Aconitum napellus L. (folhas, raízes e preparações galênicas)",欧乌头（Aconitum napellus L.，叶、根及植物制剂）,84603-50-9,283-252-6
12,Aconitina (alcalóide principal do Aconitum napellus L.) e seus sais,乌头碱（欧乌头主要生物碱）及其盐,302-27-2,206-121-7
13,Adonis vernalis L. e suas preparações,春侧金盏花（Adonis vernalis L.）及其制剂,84649-73-0,283-458-6
14,Epinefrina*,*肾上腺素,51-43-4,200-098-7
15,Alcalóides de Rauwolfia serpentina L. e seus sais,蛇根木（Rauwolfia serpentina L.）生物碱及其盐,90106-13-1,290-234-1
16,"Álcoois acetilenicos, seus ésteres, éteres e sais",乙炔醇、其酯、醚及盐,927-74-2,107-19-7
17,Isoprenalina*,*异丙肾上腺素,7683-59-2,231-687-7
18,Isotiocianato de alila,异硫氰酸烯丙酯,57-06-7,200-309-2
19,Aloclamida* e seus sais,*阿洛氯胺及其盐,5486-77-1,-
20,"Nalorfina*, seus sais e éteres",*纳洛芬、其盐及醚,62-67-9,200-546-1
21,Aminas Simpaticomiméticas que atuam sobre o sistema nervoso central,作用于中枢神经系统拟交感神经胺,300-62-9,206-096-2
22,"Aminobenzeno (anilina), seus sais e seus derivados halogenados e sulfonados",氨基苯（苯胺）、其盐及卤代和磺化衍生物,62-53-3,200-539-3
23,Betoxicaína* e seus sais,*贝托卡因及其盐,3818-62-0,-
24,Zoxazolamina*,*氯唑沙宗,61-80-3,200-519-4
25,"Procainamida*, seus sais e seus derivados",*普鲁卡因胺、其盐及衍生物,51-06-9,200-078-8
26,Benzidina,联苯胺,92-87-5,202-199-1
27,"Tuaminoheptano*, seus isômeros e seus sais",*庚胺、其异构体及盐,123-82-0,204-655-5
28,Octodrina* e seus sais,*奥克托林及其盐,543-82-8,208-851-1
29,"2- amino-1,2-bis (4 - metoxifenil) etanol e seus sais",2-氨基-1,530-34-7,-
30,"1, 3 - dimetilpentilamina e seus sais",1,105-41-9,203-296-1
31,Ácido 4 – Aminossalicílico e seus sais,4-氨基水杨酸及其盐,65-49-6,200-613-5
32,"Aminotoluenos (toluidinas),e seus isômeros, sais, derivados halogenados e sulfonados",氨基甲苯（甲苯胺）、其异构体、盐、卤代及磺化衍生物,26915-12-8,248-105-2
33,"Aminoxilenos (xilidinas), seus isômeros,  sais e derivados halogenados e sulfonados",氨基二甲苯（二甲苯胺）、其异构体、盐、卤代及磺化衍生物,1300-73-8,215-091-4
34,"Imperatorina (9-(3-metilbut-2 eniloxi)furo[3,2g]cromen-7-ona)",欧前胡素（9-(3-甲基丁-2-烯氧基)呋喃并[3,482-44-0,207-581-1
35,Ammi majus L. e suas preparações galênicas,大阿米（Ammi majus L.）及其植物制剂,90320-46-0,291-072-4
36,"2, 3 – Dicloro - 2 – metilbutano (Amileno  clorado)",2,507-45-9,-
37,"Substâncias com efeitos androgênicos exceto Serenoa repens (serrulata) até 0,3%.",具有雄激素效应的物质（除锯棕（Serenoa repens）含量≤0.3%外）,-,-
38,Óleo de antraceno,蒽油,120-12-7,204-371-1
39,Antibióticos,抗生素,-,-
40,Antimônio e seus compostos,锑及其化合物,7440-36-0,231-146-5
41,Apocynum cannabinum L.e suas preparações,北美夹竹桃（Apocynum cannabinum L.）及其制剂,84603-51-0,283-253-1
42,"Apomorfina ((R) - 5,6,6a, 7-tetrahidro-6-metil–4H- dibenzo(de,g)-quinolina-10,11-diol) e seus sais",(R)-5,58-00-4,200-360-0
43,Arsênico e seus compostos,砷及其化合物,7440-38-2,231-148-6
44,Atropa belladona L. e suas preparações,颠茄（Atropa belladona L.）及其制剂,8007-93-0,232-365-9
45,"Atropina, seus sais e seus derivados",阿托品、其盐及衍生物,51-55-8,200-104-8
46,"Sais de bário com exceção do sulfato de bário, sulfeto de bário, lacas, sais e pigmentos preparados sob condições previstas em outras listas de substâncias",钡盐（硫酸钡、硫化钡、色淀、其他列表中规定的盐及颜料除外）,-,-
47,Benzeno,苯,71-43-2,200-753-7
48,Benzimidazolona,苯并咪唑酮,615-16-7,210-412-4
49,Benzazepinas e benzodiazepinas,苯并氮杂䓬和苯二氮䓬类,12794-10-4,-
50,Benzoato de 1 – dimetilaminometil - 1 - metilpropil (amilocaína) e seus sais,1-二甲氨基甲基-1-甲基丙基苯甲酸酯（阿米卡因）及其盐,644-26-8,211-411-1
51,"Benzoato de 2, 2, 6- trimetil - 4 – piperidila (benzamina) e seus sais",2,500-34-5,-
52,Isocarboxazida*,*异卡波肼,59-63-2,200-438-4
53,Bendroflumetiazida* e seus derivados,*苄氟噻嗪及其衍生物,73-48-3,200-800-1
54,Berílio e seus compostos,铍及其化合物,7440-41-7,231-150-7
55,Bromo elementar,单质溴,7726-95-6,231-778-1
56,Tosilato de Bretílio*,*溴苄铵托西酸盐,61-75-6,200-516-8
57,Carbromal*,*卡溴脲,77-65-6,201-046-6
58,Bromisoval*,*溴异戊酰脲,496-67-3,207-825-7
59,Bronfeniramina* e seus sais,*溴苯那敏及其盐,86-22-6,201-657-8
60,Brometo de Benzilônio*,*苯扎溴铵,1050-48-2,213-885-5
61,Brometo de Tetrilamônio*,*四乙铵溴化物,71-91-0,200-769-4
62,Brucina,马钱子碱,357-57-3,206-614-7
63,Tetracaína* e seus sais,*丁卡因及其盐,94-24-6,202-316-6
64,Mofebutazona*,*莫非布宗,2210-63-1,218-641-1
65,Tolbutamida*,*甲苯磺丁脲,64-77-7,200-594-3
66,Carbutamida*,*卡布特酰胺,339-43-5,206-424-4
67,Fenilbutazona*,*保泰松,50-33-9,200-029-0
68,Cádmio e seus compostos,镉及其化合物,7440-43-9,231-152-8
69,"Cantaridas, Cantharis vesicatoria",斑蝥（Cantharis vesicatoria）,92457-17-5,296-298-7
70,Cantaridina,斑蝥素,56-25-7,200-263-3
71,Fenprobamato*,*非诺班特,673-31-4,211-606-1
72,Nitroderivados de carbazol,咔唑硝基衍生物,-,-
73,Dissulfeto de carbono,二硫化碳,75-15-0,200-843-6
74,Catalase,过氧化氢酶,9001-05-2,232-577-1
75,Cefalina e seus sais,脑磷脂及其盐,483-17-0,207-591-6
76,Óleo essencial de Chenopodium ambrosioides L.,土荆芥（Chenopodium ambrosioides L.）精油,8006-99-3,-
77,"Cloral Hidratado ( 2, 2, 2 - Tricloroetano - 1, 1 – diol )",水合氯醛（2,302-17-0,206-117-5
78,Cloro elementar,单质氯,7782-50-5,231-959-5
79,Clorpropamida*,*氯磺丙脲,94-20-2,202-314-5
80,Cloridrato de difenoxilato*,*盐酸地芬诺酯,3810-80-8,223-287-6
81,"Hidrocloridrato citrato de 4-fenilazofenileno-1,3- diamina (crisoidina, hidrocloridrato citrato)",4-苯基偶氮苯-1,5909-04-6,-
82,Clorzoxazona*,*氯唑沙宗,95-25-0,202-403-9
83,2 - Cloro - 6 – metilpirimidina - 4 - ildimetilamina (crimidina  ISO),2-氯-6-甲基嘧啶-4-基二甲胺（克灭鼠 ISO）,535-89-7,208-622-6
84,Clorprotixeno* e seus sais,*氯普噻吨及其盐,113-59-7,204-032-8
85,Clofenamida*,*氯芬那胺,671-95-4,211-588-5
86,"N-óxido de N, N – bis (2 - cloroetil) metilamina e seus sais",N,126-85-2,-
87,Clorometina* e seus sais,*氮芥及其盐,51-75-2,200-120-5
88,Ciclofosfamida* e seus sais,*环磷酰胺及其盐,50-18-0,200-015-4
89,Manomustina* e seus sais,*甘露醇氮芥及其盐,576-68-1,209-404-3
90,Butanilicaína* e seus sais,*丁酰卡因及其盐,3785-21-5,-
91,Cloromezanona*,*氯美扎酮,80-77-3,201-307-4
92,Triparanol*,*曲帕拉醇,78-41-1,201-115-0
93,"2 – [2 - (4 - Clorofenil) - 2 – fenilacetil] indano - 1, 3 - diona (clorofacinona  ISO)",2-[2-(4-氯苯基)-2-苯基乙酰基]茚-1,3691-35-8,223-003-0
94,Clorofenoxamina*,*氯酚氧胺,77-38-3,-
95,Fenaglicodol*,*芬那二醇,79-93-6,201-235-3
96,Cloroetano  ( Cloreto de etila ),氯乙烷（乙基氯）,75-00-3,200-830-5
97,"Crômio, ácido crômico e seus sais",铬、铬酸及其盐,7440-47-3,231-157-5
98,"Claviceps purpurea Tul., seus alcalóides e preparações galênicas",麦角菌（Claviceps purpurea Tul.）、其生物碱及植物制剂,84775-56-4,283-885-8
99,"Conium maculatum L. (fruto, pó e preparações galênicas)",毒芹（Conium maculatum L.，果实、粉末及植物制剂）,85116-75-2,285-527-6
100,Gliciclamida*,*格列环脲,664-95-9,211-557-6
