num,name_pt,name_zh,cas,ec
1043,Éter cresilglicidílico de [(toliloxi)metil]oxirano,[(甲苯氧基)甲基]环氧乙烷甲酚基缩水甘油醚,26447-14-3,247-711-4
1044,Dialato,燕麦敌,2303-16-4,218-961-1
1045,"2,4-dibromobutanoato de benzila",4-dibromobutanoato de benzila,23085-60-1,420-710-8
1046,Trifluoroiodometano,三氟碘甲烷,2314-97-8,219-014-5
1047,Metiltiofanato,甲基托布津,23564-05-8,245-740-7
1048,"Dodecacloropentaciclo[5.2.1.02,6.03,9.05,8]decano",6.03,2385-85-5,219-196-6
1049,Propizamida,炔苯酰草胺,23950-58-5,245-951-4
1050,Éter butil glicidílico,丁基缩水甘油醚,2426-08-6,219-376-4
1051,"2,3,4-triclorobut-1-eno",3,2431-50-7,219-397-9
1052,Quinometionato,灭螨猛,2439-01-2,219-455-3
1053,"Monohidrato (-)-(1R,2S)-(1,2-epoxipropil)fosfonato de (R)-α-feniletilamônio",2S)-(1,25383-07-7,418-570-8
1054,"5-etoxi-3-triclorometil-1,2,4-tiadiazol",2,2593-15-9,219-991-8
1055,Amarelo 3 disperso,分散黄3,2832-40-8,220-600-8
1056,"1,2,4-triazol",2,288-88-0,206-022-9
1057,Aldrina,艾氏剂,309-00-2,206-215-8
1058,Diurão,敌草隆,330-54-1,206-354-4
1059,Linurão,利谷隆,330-55-2,206-356-5
1060,Carbonato de níquel,碳酸镍,3333-67-3,222-068-2
1061,"3-(4-isopropilfenil)-1,1-dimetiluréia",1-dimetiluréia,34123-59-6,251-835-4
1062,Iprodiona,异菌脲,36734-19-7,253-178-9
1063,"Octanoato de 4-ciano-2,6-diiodofenilo",6-diiodofenilo,3861-47-0,223-375-4
1064,"5-(2,4-dioxo-1,2,3,4-tetrahidropirimidina)-3-flúor- 2-hidroximetiltetrahidrofurano",4-dioxo-1,41107-56-6,415-360-8
1065,Crotonaldeído,巴豆醛,4170-30-3,224-030-0
1066,N-etoxicarbonil-N-(p-tolilsulfonil)azanida de hexahidrociclopenta(c)pirrole-1-(1H)-amônio,N-乙氧羰基-N-(对甲苯磺酰基)六氢环戊[c]吡咯-1-(1H)-铵氮化物,-,418-350-1
1067,"4,4'-carbonimidoilbis[N,N-dimetilanilina]",4'-carbonimidoilbis[N,492-80-8,207-762-5
1068,DNOC,二硝甲酚,534-52-1,208-601-1
1069,Cloreto de toluidina,甲苯胺盐酸盐,540-23-8,208-740-8
1070,Sulfato de toluidina (1:1),甲苯胺硫酸盐(1:1),540-25-0,208-741-3
1071,2-(4-terc-butilfenil)etanol,2-(4-叔丁基苯基)乙醇,5406-86-0,410-020-5
1072,Fentião,倍硫磷,55-38-9,200-231-9
1073,"Clordano, puro",puro,57-74-9,200-349-0
1074,Hexano-2-ona,2-己酮,591-78-6,209-731-1
1075,Fenarimol,氯苯嘧啶醇,60168-88-9,262-095-7
1076,Acetamida,乙酰胺,60-35-5,200-473-5
1077,"N-ciclohexil- N-metoxi-2,5-dimetil-3-furamida",5-dimetil-3-furamida,60568-05-0,262-302-0
1078,Dieldrina,狄氏剂,60-57-1,200-484-5
