num,name_pt,name_zh,cas,ec
313,Xilometazolina* e seus sais,*赛洛唑啉及其盐,526-36-3,208-390-6
314,Tetracloroetileno,四氯乙烯,127-18-4,204-825-9
315,Tetracloreto de Carbono,四氯化碳,56-23-5,200-262-8
316,Tetrafosfato de hexaetila,六乙基四磷酸酯,757-58-4,212-057-0
317,Tálio e seus compostos,铊及其化合物,7440-28-0,231-138-1
318,Extrato Glicosídico de Thevetia neriifolia Juss.,黄花夹竹桃（Thevetia neriifolia Juss.）苷类提取物,90147-54-9,290-446-4
319,Etionamida*,*乙硫异烟胺,536-33-4,208-628-9
320,Fenotiazina* e seus compostos,*吩噻嗪及其化合物,92-84-2,202-196-5
321,"Tiouréia e seus derivados, com exceção dos mencionados em outras listas de substâncias",硫脲及其衍生物（其他列表另有规定的除外）,62-56-6,200-543-5
322,Mefenesina* e seus ésteres,*美芬新及其酯,59-47-2,200-427-4
323,"Vacinas, toxinas ou soros",疫苗、毒素或血清,-,-
324,Tranilcipromina* e seus sais,*反苯环丙胺及其盐,155-09-9,205-841-9
325,Tricloronitrometano (cloropicrina),三氯硝基甲烷（氯化苦）,76-06-2,200-930-9
326,"2, 2, 2 - Tribromoetanol (álcool tribromoetílico)",2,75-80-9,200-903-1
329,Trietiodeto de galamina*,*加拉碘铵,65-29-2,200-605-1
330,Urginea scilla Stern. e suas preparações galênicas,海葱（Urginea scilla Stern.）及其植物制剂,84650-62-4,283-520-2
331,"Veratrina, seus sais e preparações galênicas",藜芦碱、其盐及植物制剂,8051-02-3,613-062-00-4
332,Schoenocaulon officinale Lind. (sementes e preparações galênicas),沙巴藜芦（Schoenocaulon officinale Lind.，种子及植物制剂）,84604-18-2,283-296-6
333,Veratrum spp. e suas preparações,藜芦属植物及其制剂,90131-91-2,290-407-1
334,Cloreto de viníla (Monômero),氯乙烯（单体）,75-01-4,200-831-0
336,Sais de acidos o–alquilditiocarbônicos,邻烷基二硫代氨基甲酸盐,-,-
337,Ioimbina e seus sais,育亨宾及其盐,146-48-5,205-672-0
338,Dimetilsulfóxido*,*二甲基亚砜,67-68-5,200-664-3
339,Difenidramina* e seus sais 58-73-1 / 147-24-0 /,*苯海拉明及其盐,88637-37-0,-
341,4 - terc – butilpirocatecol,4-叔丁基邻苯二酚,98-29-3,202-653-9
342,Dihidrotaquisterol*,*二氢速甾醇,67-96-9,200-672-7
343,Dioxana,二氧六环,123-91-1,204-661-8
345,Pyrethrum album L. e suas preparações galênicas,白花除虫菊（Pyrethrum album L.）及其植物制剂,-,-
346,Maleato de 2 – [4 - Metoxibenzil - N - (2 - piridil) amino] etildimetilamina,2-[4-甲氧基苄基-N-(2-吡啶基)氨基]乙基二甲胺马来酸盐,59-33-6,200-422-7
347,Tripelenamina*,*曲普利啶,91-81-6,202-100-1
348,Tetraclorosalicilanilidas,四氯水杨酰苯胺类,7426-07-5,-
350,Tetrabromosalicilanilidas,四溴水杨酰苯胺类,-,-
351,Dibromosalicilanilidas,二溴水杨酰苯胺类,-,-
352,Bitionol*,*硫双二氯酚,97-18-7,202-565-0
353,Monossulfetos de Tiurão,秋兰姆一硫化物,97-74-5,202-605-7
356,4 – Fenilbut - 3 - en - 2 – ona,4-苯基丁-3-烯-2-酮,122-57-6,204-555-1
