num,name_pt,name_zh,cas,ec
437,"trans-2-heptenal , quando usado como ingrediente de fragrância.",反式-2-庚烯醛（用作香料成分）,18829-55-5,242-608-0
438,"trans-2-hexenaldietilacetal, quando usado como ingrediente de fragrância.",反式-2-己烯醛二乙缩醛（用作香料成分）,67746-30-9,266-989-8
439,"trans-2-hexenaldimetilacetal, quando usado como ingrediente de fragrância.",反式-2-己烯醛二甲缩醛（用作香料成分）,18318-83-7,-
440,"Álcool hidroabietílico, quando usado como ingrediente de fragrância.",氢化枞醇（用作香料成分）,26266-77-3,-
441,"6-Isopropil-2-decahidronaftalenol, quando usado como ingrediente de fragrância.",6-异丙基-2-十氢萘酚（用作香料成分）,34131-99-2,251-841-7
442,"7-Metoxicumarina, quando usado como ingrediente de fragrância.",7-甲氧基香豆素（用作香料成分）,531-59-9,-
443,"4-(4-Metoxifenil)-3-buteno-2-ona, quando usado como ingrediente de fragrância.",4-(4-甲氧基苯基)-3-丁烯-2-酮（用作香料成分）,943-88-4,213-404-9
444,"1-(4-Metoxifenil)-1-penteno-3-ona, quando usado como ingrediente de fragrância.",1-(4-甲氧基苯基)-1-戊烯-3-酮（用作香料成分）,104-27-8,203-190-5
445,"trans-2-Butenoato de metilo, quando usado como ingrediente de fragrância.",反式-2-丁烯酸甲酯（用作香料成分）,623-43-8,210-793-7
446,"7-Metilcumarina, quando usado como ingrediente de fragrância.",7-甲基香豆素（用作香料成分）,2445-83-2,219-499-3
447,"5-Metil-2,3-hexanodiona, quando usado como ingrediente de fragrância.",5-甲基-2,13706-86-0,237-241-8
448,"2-Pentilidenociclohexanona, quando usado como ingrediente de fragrância.",2-戊叉环己酮（用作香料成分）,25677-40-1,247-178-8
449,"3,6,10-Trimetil-3,5,9-undecatrieno-2-ona, quando usado como ingrediente de fragrância.",3,1117-41-5,214-245-8
450,"Óleo essencial de verbena (Lippia citriodora Kunth) e produtos derivados com exceção do absoluto, quando usado como ingrediente de fragrância.",马鞭草（Lippia citriodora Kunth）精油及衍生物（净油除外，用作香料成分）,8024-12-2,285-515-0
451,"Metileugenol, exceto o teor normal nas essências naturais, e desde que a concentração não exceda: a) 0,02 % em fragrâncias finas b) 0,008 % em água de toilette",甲基丁香酚（天然精油中正常含量除外，浓度限值：a) 精细香料≤0.02%；b) 花露水≤0.008%）,93-15-2,202-223-0
452,"6-(2-cloroetil)-6-(2-metoxietoxi)-2,5,7,10- tetraoxa-6-silaundecano",6-(2-氯乙基)-6-(2-甲氧基乙氧基)-2,37894-46-5,253-704-7
453,Dicloreto de cobalto,氯化钴,7646-79-9,231-589-4
454,Sulfato de cobalto,硫酸钴,10124-43-3,233-334-2
455,Monóxido de niquel,一氧化镍,1313-99-1,215-215-7
456,Trióxido de diniquel,三氧化二镍,1314-06-3,215-217-8
