num,name_pt,name_zh,cas,ec
842,"Destilados (petróleo), pesados hidrogenados refinados com solvente, se contiverem > 3 % (m/m) de extrato DMSO",pesados hidrogenados refinados com solvente,97488-74-9,307-011-2
843,"Óleos lubrificantes (petróleo), C18-27, do hidrocracking desparafinados com solvente, se contiverem > 3 % (m/m) de extrato DMSO",C18-27,97488-95-4,307-034-8
844,"Hidrocarbonetos, C17-30, resíduo atmosférico desasfaltado com solvente tratado com hidrogênio, fracções leves da destilação, se contiverem > 3 % (m/m) de extrato DMSO",C17-30,97675-87-1,307-661-7
845,"Hidrocarbonetos, C17-40, resíduo de destilação desasfaltado com solvente e tratado com hidrogênio, fracções leves da destilação de vácuo, se contiverem > 3 % (m/m) de extrato DMSO",C17-40,97722-06-0,307-755-8
846,"Hidrocarbonetos, C13-27, naftênicos leves extraídos com solvente, se contiverem > 3 % (m/m) de extrato DMSO",C13-27,97722-09-3,307-758-4
847,"Hidrocarbonetos, C14-29, naftênicos leves extraídos com solvente, se contiverem > 3 % (m/m) de extrato DMSO",C14-29,97722-10-6,307-760-5
848,"Óleo residual das parafinas (petróleo), tratado com carvão ativado, se contiver > 3 % (m/m) de extrato DMSO",tratado com carvão ativado,97862-76-5,308-126-0
849,"Óleo residual das parafinas (petróleo), tratado com ácido silícico, se contiver > 3 % (m/m) de extrato DMSO",tratado com ácido silícico,97862-77-6,308-127-6
850,"Hidrocarbonetos, C27-42, desaromatizados, se contiverem > 3 % (m/m) de extrato DMSO",C27-42,97862-81-2,308-131-8
851,"Hidrocarbonetos, C17-30, destilados tratados com hidrogênio, fracções leves da destilação, se contiverem > 3 % (m/m) de extrato DMSO",C17-30,97862-82-3,308-132-3
852,"Hidrocarbonetos, C27-45, nafténico da destilação de vácuo, se contiverem > 3 % (m/m) de extrato DMSO",C27-45,97862-83-4,308-133-9
853,"Hidrocarbonetos, C27-45, desaromatizados, se contiverem > 3 % (m/m) de extrato DMSO",C27-45,97926-68-6,308-287-7
854,"Hidrocarbonetos, C20-58, tratados com hidrogênio, se contiverem > 3 % (m/m) de extrato DMSO",C20-58,97926-70-0,308-289-8
855,"Hidrocarbonetos, C27-42, naftênicos, se contiverem > 3 % (m/m) de extrato DMSO",C27-42,97926-71-1,308-290-3
856,"Extratos (petróleo), de solvente de destilados parafínicos leves, tratados com carvão ativado, se contiverem > 3 % (m/m) de extrato DMSO",de solvente de destilados parafínicos leves,100684-02-4,309-672-2
857,"Extratos (petróleo), de solvente de destilados parafínicos leves, tratados com argila, se contiverem > 3 % (m/m) de extrato DMSO",de solvente de destilados parafínicos leves,100684-03-5,309-673-8
858,"Extratos (petróleo), de solvente de gasóleo leve de vácuo, tratados com carvão ativado, se contiverem > 3 % (m/m) de extrato DMSO",de solvente de gasóleo leve de vácuo,100684-04-6,309-674-3
859,"Extratos (petróleo), de solvente de gasóleo leve de vácuo, tratado com argila, se contiverem > 3 % (m/m) de extrato DMSO",de solvente de gasóleo leve de vácuo,100684-05-7,309-675-9
860,"Óleos residuais (petróleo), desparafinados com solvente tratados com carvão ativado, se contiverem > 3 % (m/m) de extrato DMSO",desparafinados com solvente tratados com carvão ativado,100684-37-5,309-710-8
861,"Óleos residuais (petróleo), desparafinados com solvente tratados com argila, se contiverem > 3 % (m/m) de extrato DMSO",desparafinados com solvente tratados com argila,100684-38-6,309-711-3
862,"Óleos lubrificantes (petróleo), C>25, extraídos com solvente, desasfaltados, desparafinados, hidrogenados, se contiverem > 3 % (m/m) de extrato DMSO",C>25,101316-69-2,309-874-0
863,"com solvente, desparafinados, hidrogenados, se contiverem > 3 % (m/m) de extrato DMSO",desparafinados,101316-70-5,-
864,"Óleos lubrificantes (petróleo), C20-35, extraídos com solvente, desparafinados, hidrogenados, se contiverem > 3 % (m/m) de extrato DMSO",C20-35,101316-71-6,309-876-1
865,"Óleos lubrificantes (petróleo), C24-50, extraídos com solvente, desparafinados, hidrogenados, se contiverem > 3 % (m/m) de extrato DMSO",C24-50,101316-72-7,309-877-7
866,"Destilados (petróleo), médios tratados (sweetened), exceto se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",médios tratados (sweetened),64741-86-2,265-088-7
867,"Gasóleos (petróleo), refinados com solvente, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",refinados com solvente,64741-90-8,265-092-9
868,"Destilados (petróleo), médios refinados com solvente, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",médios refinados com solvente,64741-91-9,265-093-4
869,"Gasóleos (petróleo), tratados com ácido, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",tratados com ácido,64742-12-7,265-112-6
870,"Destilados (petróleo), médios tratados com ácido, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",médios tratados com ácido,64742-13-8,265-113-1
871,"Destilados (petróleo), leves tratados com ácido, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",leves tratados com ácido,64742-14-9,265-114-7
872,"Gasóleos (petróleo), neutralizados quimicamente, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",neutralizados quimicamente,64742-29-6,265-129-9
873,"Destilados (petróleo), médios neutralizados quimicamente, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",médios neutralizados quimicamente,64742-30-9,265-130-4
874,"Destilados (petróleo), médios tratados com argila, exceto se se conhecerem todos os antecedentes de refinação e se se puder provar que a substância a partir da qual foi produzida não é cancerígena",médios tratados com argila,64742-38-7,265-139-3
